# step, loss function, Y0, learning rate, running time
8.300000000000000000e+01, 8.279854133108240148e+02, 5.062101910923076531e+01, 1.000000000000000000e+00, 7.942865586280822754e+01
8.400000000000000000e+01, 5.008587609276490866e+02, 5.101170277525267238e+01, 1.000000000000000000e+00, 8.006029987335205078e+01
8.500000000000000000e+01, 6.200330427456015059e+02, 5.139162764734289368e+01, 1.000000000000000000e+00, 8.069586372375488281e+01
8.600000000000000000e+01, 4.615284805105166015e+02, 5.175690328764815717e+01, 1.000000000000000000e+00, 8.132758879661560059e+01
8.700000000000000000e+01, 6.106752237743817204e+02, 5.211017540180703378e+01, 1.000000000000000000e+00, 8.195479083061218262e+01
8.800000000000000000e+01, 6.589038517764806784e+02, 5.245253570739321702e+01, 1.000000000000000000e+00, 8.257683992385864258e+01
8.900000000000000000e+01, 4.978186418007728662e+02, 5.278720393581080828e+01, 1.000000000000000000e+00, 8.319601893424987793e+01
9.000000000000000000e+01, 5.536112044152296221e+02, 5.310680273218456904e+01, 1.000000000000000000e+00, 8.382042288780212402e+01
9.100000000000000000e+01, 3.790176859420294022e+02, 5.343901538331839163e+01, 1.000000000000000000e+00, 8.444185185432434082e+01
9.200000000000000000e+01, 7.584362258294758021e+02, 5.375661164415697613e+01, 1.000000000000000000e+00, 8.506217384338378906e+01
9.300000000000000000e+01, 3.217672754714681673e+02, 5.406773810980114803e+01, 1.000000000000000000e+00, 8.569332098960876465e+01
9.400000000000000000e+01, 4.396988070916040101e+02, 5.436762865015311519e+01, 1.000000000000000000e+00, 8.632818984985351562e+01
9.500000000000000000e+01, 4.187779588964880304e+02, 5.467471439240281939e+01, 1.000000000000000000e+00, 8.695262289047241211e+01
9.600000000000000000e+01, 6.309007112450417480e+02, 5.498847295834613647e+01, 1.000000000000000000e+00, 8.757741689682006836e+01
9.700000000000000000e+01, 5.064194970824140682e+02, 5.528797654900363057e+01, 1.000000000000000000e+00, 8.819926404953002930e+01
9.800000000000000000e+01, 4.624887819865505207e+02, 5.560176933419363365e+01, 1.000000000000000000e+00, 8.882789397239685059e+01
9.900000000000000000e+01, 5.830827149554220341e+02, 5.590305750678920305e+01, 1.000000000000000000e+00, 8.945442795753479004e+01
1.000000000000000000e+02, 4.345220505126568469e+02, 5.621709088888138695e+01, 1.000000000000000000e+00, 9.007860398292541504e+01
1.010000000000000000e+02, 6.745629386206917388e+02, 5.653747898472723676e+01, 1.000000000000000000e+00, 9.070975899696350098e+01
1.020000000000000000e+02, 4.489910149596557289e+02, 5.688073320515569975e+01, 1.000000000000000000e+00, 9.133234786987304688e+01
1.030000000000000000e+02, 5.584036212489475020e+02, 5.722494684315332591e+01, 1.000000000000000000e+00, 9.195975685119628906e+01
1.040000000000000000e+02, 3.844551292163358767e+02, 5.757664267309070283e+01, 1.000000000000000000e+00, 9.258271789550781250e+01
